observer, scene, part_A, part_B, distortion_A, distortion_B, level_A, level_B, is_A_selected
"100", "head1", "sr5", "sr1", "resample", "noise", 2.000000, 2.000000, 0
"100", "head1", "sr1", "sr2", "jpg", "resample", 1.000000, 2.000000, 1
"100", "head1", "sr7", "sr4", "noise", "simp", 2.000000, 1.000000, 0
"100", "head1", "sr2", "sr1", "jpg", "resample", 2.000000, 1.000000, 0
"100", "head1", "sr6", "sr4", "jpg", "jpg", 1.000000, 2.000000, 1
"100", "head1", "sr0", "sr4", "simp", "noise", 2.000000, 1.000000, 1
"100", "head1", "sr0", "sr6", "jpg", "simp", 1.000000, 1.000000, 0
"100", "head1", "sr7", "sr6", "jpg", "jpg", 1.000000, 2.000000, 0
"100", "head1", "sr2", "sr0", "smooth", "jpg", 2.000000, 2.000000, 0
"100", "head1", "ref", "sr5", "ref", "noise", 1.000000, 2.000000, 1
"100", "head1", "sr4", "sr2", "smooth", "jpg", 2.000000, 2.000000, 1
"100", "head1", "sr4", "sr2", "noise", "simp", 1.000000, 2.000000, 1
"100", "head1", "sr1", "sr3", "simp", "smooth", 2.000000, 2.000000, 0
"100", "head1", "sr3", "sr4", "simp", "jpg", 1.000000, 1.000000, 0
"100", "head1", "sr6", "sr4", "smooth", "resample", 1.000000, 2.000000, 1
"100", "head1", "sr3", "sr7", "smooth", "noise", 1.000000, 2.000000, 1
"100", "head1", "sr2", "sr3", "smooth", "smooth", 1.000000, 1.000000, 1
"100", "head1", "sr0", "ref", "resample", "ref", 1.000000, 0.000000, 1
"100", "head1", "sr1", "sr0", "jpg", "resample", 2.000000, 2.000000, 1
"100", "head1", "sr4", "sr6", "resample", "simp", 1.000000, 2.000000, 1
"100", "head1", "sr5", "sr6", "noise", "noise", 1.000000, 1.000000, 0
"100", "head1", "sr6", "sr6", "simp", "jpg", 1.000000, 1.000000, 1
"100", "head1", "sr2", "sr0", "resample", "jpg", 2.000000, 1.000000, 0
"100", "head1", "sr5", "sr1", "resample", "resample", 1.000000, 2.000000, 0
"100", "head1", "sr0", "sr5", "resample", "resample", 2.000000, 2.000000, 1
"100", "head1", "sr4", "sr4", "resample", "simp", 2.000000, 2.000000, 1
"100", "head1", "sr5", "sr2", "smooth", "noise", 2.000000, 2.000000, 1
"100", "head1", "sr5", "sr2", "smooth", "resample", 1.000000, 1.000000, 1
"100", "head1", "sr2", "sr7", "resample", "noise", 1.000000, 1.000000, 1
"100", "head1", "sr0", "sr1", "jpg", "simp", 2.000000, 1.000000, 0
"100", "head1", "sr0", "sr7", "smooth", "jpg", 1.000000, 1.000000, 1
"100", "head1", "sr2", "sr7", "simp", "resample", 2.000000, 2.000000, 0
"100", "head1", "sr6", "sr7", "resample", "smooth", 2.000000, 1.000000, 1
"100", "head1", "sr2", "sr0", "jpg", "smooth", 1.000000, 1.000000, 0
"100", "head1", "sr3", "sr7", "simp", "jpg", 2.000000, 2.000000, 0
"100", "head1", "sr6", "sr2", "resample", "smooth", 1.000000, 2.000000, 0
"100", "head1", "sr4", "sr7", "jpg", "simp", 2.000000, 2.000000, 0
