class,condition,jod,jod_low,jod_high
head,0_ref,0.618088498097568,0.40307422603805,0.815225752304179
head,1_m0,-0.0456555437410513,-0.312822167625421,0.24640129457318
head,1_m1,-0.0108687046868892,-0.28213147913759,0.18102708632235
head,1_m2,-0.200441915627775,-0.491839563973241,0.0960910617114823
head,1_m3,0.1251130059954,-0.0691437735647019,0.300324766920982
head,1_m4,0.23425977819347,0.0607511260923226,0.392424702207961
head,1_m5,0.25599114900201,0.0943363529985918,0.454038621222076
head,1_r10,-0.0475935400846863,-0.250718969066328,0.103989357589083
head,1_r11,0.205133053513944,0.0427195633637256,0.386612740662053
head,1_r12,0.278901820150262,0.131386840458209,0.468987339443567
head,1_r13,-0.0123599185579258,-0.166679798331701,0.186532052544652
head,1_r14,0.185306759702518,0.0464480948552213,0.368080604512633
head,1_r15,0.180975414812353,-0.0317838723848326,0.382208361597265
head,1_r16,0.169608185920817,-0.00596611833406204,0.401917564522231
head,1_r17,0.362624511726885,0.179645961537508,0.56778038444954
head,1_r18,0.404625146785031,0.283744341179167,0.615973522391616
head,1_r6,0.126981078019401,-0.0379906810662525,0.318806448554121
head,1_r7,-0.0357828469492013,-0.212596202925092,0.171593638264958
head,1_r8,0.292438581719122,0.136074214764417,0.456031302787882
head,1_r9,0.10625774496922,-0.00719488912532523,0.241582278311407
head,2_m0,-0.551723736282164,-0.796372364243654,-0.294891855359718
head,2_m1,-0.551622359217934,-0.815167248286075,-0.299603852313449
head,2_m2,-0.432324743383463,-0.679030132225455,-0.245472655976192
head,2_m3,-0.379991575044757,-0.592753253462184,-0.205932393650078
head,2_m4,-0.257988665772354,-0.450245565481583,-0.133640089275974
head,2_m5,0.0802154757390161,-0.177952700397759,0.326927509712576
head,2_r10,-0.463498485701431,-0.75150191838387,-0.263545698932936
head,2_r11,-0.108320679703822,-0.334029320478692,0.0114129021625689
head,2_r12,0.0539703257496616,-0.134175610290915,0.260133815830727
head,2_r13,-0.350918309195625,-0.653613392857413,-0.101978123750086
head,2_r14,0.0308207023139659,-0.131182820034317,0.195449992824802
head,2_r15,-0.0630815510872189,-0.222752888131514,0.082572024707326
head,2_r16,0.0560836282793808,-0.154487118551883,0.246146079618858
head,2_r17,0.266713902573728,-0.00362050375614825,0.519797278810494
head,2_r18,0.375705627500401,0.261824128809968,0.530469233259614
head,2_r6,-0.171729095378361,-0.315630407168147,-0.0149927619196517
head,2_r7,-0.423962065357061,-0.581299299564629,-0.269890454337167
head,2_r8,-0.0794475173591459,-0.239507665488948,0.0897647414203503
head,2_r9,-0.222503137633292,-0.436599922205092,-0.0273178419600359
