class,condition,jod,jod_low,jod_high
head,0_ref_ref,1.00713768936902,0.787184574082729,1.16835420978862
head,1_jpg_m0,0.176394987000727,-0.441984184627407,0.655127876124826
head,1_jpg_m1,0.0213039679530174,-0.384466594061458,0.270739547167637
head,1_jpg_m2,0.397282862765162,-0.0283493523171521,0.691960178641689
head,1_jpg_m3,-0.623120169279819,-0.92625722500736,-0.259987286109999
head,1_jpg_m4,-0.107827241746373,-0.434114324137669,0.150666635948074
head,1_jpg_m5,-0.0731067412389311,-0.330543738448496,0.206501278867173
head,1_jpg_r10,-0.290203273536781,-0.551664178607166,0.0282433721172072
head,1_jpg_r11,-0.13659467455549,-0.391727854460764,0.209022290049325
head,1_jpg_r12,-0.137932549514693,-0.35201140286509,0.234385450951975
head,1_jpg_r13,-0.160512409415776,-0.548340512975163,0.326036260095913
head,1_jpg_r14,0.0436851997826708,-0.214036231608683,0.522256725414449
head,1_jpg_r15,0.168486415295008,-0.312989547413482,0.466574717885291
head,1_jpg_r16,-0.0964245427852855,-0.413870037864315,0.207257001644216
head,1_jpg_r17,0.170525835929106,-0.365824961663799,0.568036013709026
head,1_jpg_r18,0.438216258366262,0.0473267043495575,0.86046238248462
head,1_jpg_r6,-0.0839650985729962,-0.321408290882812,0.188546258325918
head,1_jpg_r7,-0.207582165248243,-0.704364960661179,0.27750527054086
head,1_jpg_r8,0.27051868649747,-0.0480656555254504,0.601629933801187
head,1_jpg_r9,-0.271753771906957,-0.583805200964277,0.205520956377109
head,1_noise_m0,0.263920640801077,-0.104281918541658,0.560545755368484
head,1_noise_m1,-0.0123011895483342,-0.407125075257687,0.412787797106419
head,1_noise_m2,-0.144705393106165,-0.452284009852934,0.0944782415429918
head,1_noise_m3,-0.0329208150871186,-0.657987022461017,0.354123216132442
head,1_noise_m4,0.284270520125209,0.0101437115950465,0.666818180832792
head,1_noise_m5,0.197134993873111,-0.254377568146975,0.508777023303907
head,1_noise_r10,0.334261466153647,-0.0751562423568717,0.683479091689466
head,1_noise_r11,0.5192638277168,0.221933696914993,0.707022446784323
head,1_noise_r12,0.483452008572082,0.110651661048231,0.901938054012162
head,1_noise_r13,-0.50482022691378,-0.723535307297129,-0.136203170342213
head,1_noise_r14,0.279612438927314,0.00400979326251474,0.57147523463886
head,1_noise_r15,0.375468209132405,-0.0448670886680817,0.801382018686342
head,1_noise_r16,0.243524488807252,-0.109965477528211,0.647631856504405
head,1_noise_r17,0.808020122694091,0.504193553186604,1.03882020993452
head,1_noise_r18,0.722417771508044,0.366946843389389,1.14746265702558
