class,condition,jod,jod_low,jod_high
head,m0,-0.283464977993294,-0.452198306356847,-0.105751358830199
head,m1,-0.259373790598625,-0.484760446579026,-0.0678123492282997
head,m2,-0.299810677863931,-0.497270545277769,-0.110636457722491
head,m3,-0.107637054074088,-0.269903145579672,0.059243437178979
head,m4,0.00330950165205431,-0.125164673494809,0.125417841299629
head,m5,0.130758019063456,-0.0162802854363612,0.273379109754824
head,r10,-0.261029253755147,-0.395870217918014,-0.151029463690556
head,r11,0.0281385400060793,-0.0789419230680815,0.143531379133683
head,r12,0.128435988683555,0.0171953573013463,0.268491136656715
head,r13,-0.180164385311793,-0.394143669232719,-0.0368380910771782
head,r14,0.0830282720544127,-0.0662246992977988,0.197166525966815
head,r15,0.0317978072528463,-0.0933908459048736,0.146223623675345
head,r16,0.0703114934203003,-0.0700148748928027,0.210201652289311
head,r17,0.265783268625436,0.118258346999395,0.461876098757021
head,r18,0.31899298623983,0.193984345467274,0.468152847100543
head,r6,-0.0324218213682302,-0.127042434813077,0.078125443488332
head,r7,-0.216726294768067,-0.333961639573548,-0.0840465947093898
head,r8,0.102095295838308,-0.0451067156770301,0.235433054362307
head,r9,-0.0776119879338746,-0.186298961074492,0.0786120543534174
head,ref,0.555589070830774,0.295352300667271,0.745549408390175
